A_Index;AnzahlZimmer;Ausbaustufe;Baeder;BaederKG;Baujahr;EG_qm;Garage_qm;Garagen;Gesamteindruck;Keller_Typ_qm;Keller_qm;Kellerhoehe;Kellertyp;Lage;OG_qm;Umgebaut;Verkaufsjahr;Verkaufsmonat;Wohnflaeche_qm;Z_Verkaufspreis
75;2;1 Ebene;1;1;1989;78;29;1;4;65;76;Durchschnitt;Mittlerer Wohnraum;Bezirk 14;0;1989;2021;4;78;156450
2066;2;1 Ebene;2;1;2014;128;33;2;3;88;116;Gut;Guter Wohnraum;Bezirk 1;0;2014;2018;5;128;246990
2180;2;1 Ebene;1;0;1966;117;42;2;3;0;0;0;0;Bezirk 8;0;1966;2021;10;117;122000
2189;4;1 Ebene;2;1;1975;87;23;1;3;20;61;Durchschnitt;Freizeitraum;Bezirk 15;52;2011;2019;10;140;172000
495;3;2 Ebenen;1;0;1927;62;32;1;4;0;41;Durchschnitt;Rohbau;Bezirk 20;58;2014;2021;2;121;123000
708;2;1 Ebene;1;0;1922;69;0;0;2;0;53;Durchschnitt;Rohbau;Bezirk 20;0;1962;2021;6;69;58500
1989;2;1 Ebene;2;0;2017;115;41;2;3;71;115;Gut;Mittlerer Wohnraum;Bezirk 18;0;2017;2021;8;115;213000
1791;3;1 Ebene;1;1;2016;91;0;0;3;57;91;Gut;Guter Wohnraum;Bezirk 23;0;2017;2020;4;91;141000
2356;2;1 Ebene;1;0;1964;80;34;2;4;37;80;Durchschnitt;Mittlerer Wohnraum;Bezirk 15;0;1964;2019;4;80;125000
186;3;1 Ebene;1;1;1975;88;55;2;3;53;90;Durchschnitt;Mittlerer Wohnraum;Bezirk 14;0;1975;2019;1;88;132250
2122;3;2 Ebenen;3;1;2013;68;44;2;4;54;68;Gut;Guter Wohnraum;Bezirk 19;72;2013;2021;11;141;227000
1863;3;2 Ebenen;3;1;2018;77;66;3;3;57;76;Sehr gut;Guter Wohnraum;Bezirk 24;75;2018;2021;7;152;270000
1384;4;2 Ebenen;2;0;1923;87;0;0;4;0;79;Durchschnitt;Rohbau;Bezirk 21;79;1962;2020;11;166;130000
2568;3;2 Ebenen;3;1;1985;94;41;2;4;73;94;Gut;Mittlerer Wohnraum;Bezirk 19;83;1985;2021;11;177;200000
271;1;1 Ebene;2;1;2017;110;53;2;3;87;110;Gut;Mittlerer Wohnraum;Bezirk 18;0;2018;2019;5;110;200000
1980;3;2 Ebenen;1;1;1934;106;126;4;3;0;75;Durchschnitt;Rohbau;Bezirk 20;15;1962;2020;6;122;139000
2213;3;2 Ebenen;3;0;2006;83;39;2;4;50;82;Gut;Guter Wohnraum;Bezirk 16;74;2006;2021;1;157;248000
12;3;3 Ebenen;1;0;1928;69;19;1;4;0;69;Durchschnitt;Rohbau;Bezirk 20;74;1962;2018;7;143;144000
1837;4;2 Ebenen;3;1;2010;142;68;3;3;57;119;Sehr gut;Guter Wohnraum;Bezirk 16;119;2010;2019;7;261;410000
432;3;1 Ebene;1;1;1977;88;32;1;3;77;88;Durchschnitt;Freizeitraum;Bezirk 22;0;1977;2020;2;88;129500
63;3;1 Ebene;2;0;1965;97;54;2;4;42;97;Durchschnitt;Freizeitraum;Bezirk 15;0;1965;2020;5;97;137500
2431;1;1 Ebene;2;1;2002;90;39;2;4;39;89;Gut;Guter Wohnraum;Bezirk 23;0;2003;2021;7;90;162000
591;4;2 Ebenen;2;1;1953;104;26;1;4;36;129;Gut;Mittlerer Wohnraum;Bezirk 7;77;1997;2022;7;181;296125
1417;2;1 Ebene;1;0;1970;77;23;1;3;38;77;Durchschnitt;Freizeitraum;Bezirk 15;0;1970;2019;7;77;114500
599;3;2 Ebenen;3;0;2009;78;40;2;3;67;78;Gut;Guter Wohnraum;Bezirk 9;59;2010;2022;3;138;218384
1464;3;2 Ebenen;2;0;2016;82;32;2;3;0;82;Gut;Rohbau;Bezirk 8;62;2016;2018;5;145;134000
1194;3;1 Ebene;1;1;1968;97;50;1;4;62;97;Durchschnitt;Kein Wohnraum;Bezirk 8;0;1968;2022;6;97;148350
1409;3;1 Ebene;2;1;2014;143;72;3;3;103;133;Gut;Guter Wohnraum;Bezirk 14;0;2014;2020;7;143;271000
108;3;1 Ebene;2;1;1975;97;28;1;3;2;97;Durchschnitt;Kein Wohnraum;Bezirk 15;0;1975;2020;8;97;124000
909;1;1 Ebene;1;0;1938;63;44;2;3;0;51;Schlecht;Rohbau;Bezirk 4;0;1965;2018;6;63;79900
2518;3;1 Ebene;1;1;1974;73;28;1;4;39;73;Durchschnitt;Kein Wohnraum;Bezirk 15;0;1974;2018;2;73;105000
1425;1;1 Ebene;2;1;2018;189;61;2;3;132;188;Sehr gut;Guter Wohnraum;Bezirk 25;0;2018;2019;1;189;441929
693;3;1 Ebene;2;1;2016;145;72;3;3;92;145;Sehr gut;Guter Wohnraum;Bezirk 18;0;2017;2021;1;145;274900
1005;3;1 Ebene;1;1;1978;89;22;1;3;67;89;Durchschnitt;Kein Wohnraum;Bezirk 15;0;1978;2018;3;89;124400
1660;4;2 Ebenen;2;0;1989;109;44;2;4;0;0;0;0;Bezirk 22;31;1989;2018;8;140;119500
2322;3;2 Ebenen;1;0;1947;84;20;1;4;0;75;Durchschnitt;Rohbau;Bezirk 4;49;2007;2021;7;133;133000
1209;3;2 Ebenen;3;1;2009;78;39;2;3;69;78;Gut;Guter Wohnraum;Bezirk 6;71;2009;2021;8;149;308126
1638;2;1 Ebene;2;0;1982;122;52;2;4;0;122;Durchschnitt;Rohbau;Bezirk 19;0;1982;2021;2;122;185000
1828;2;2 Ebenen;2;0;1952;67;19;1;5;21;57;Durchschnitt;Mittlerer Wohnraum;Bezirk 22;42;2010;2019;7;110;165250
130;3;1 Ebene;2;0;1969;115;28;1;3;52;100;Schlecht;Kein Wohnraum;Bezirk 15;0;1969;2018;3;115;132000
1106;4;2 Ebenen;3;1;2013;128;63;3;3;91;125;Sehr gut;Guter Wohnraum;Bezirk 18;96;2014;2020;1;225;421250
883;4;2 Ebenen;3;0;1992;130;37;2;4;51;88;Gut;Mittlerer Wohnraum;Bezirk 19;96;2003;2021;8;227;249000
2332;2;1 Ebene;1;1;1981;99;30;1;3;71;99;Gut;Mittlerer Wohnraum;Bezirk 8;0;1981;2018;12;99;119900
929;2;1 Ebene;1;1;1926;73;0;0;2;3;73;Durchschnitt;Kein Wohnraum;Bezirk 8;0;1962;2020;9;73;67000
119;4;2 Ebenen;2;0;1932;83;23;1;3;0;80;Durchschnitt;Rohbau;Bezirk 8;31;1962;2019;3;115;96000
695;2;1 Ebene;1;1;1935;90;24;1;3;81;95;Schlecht;Mittlerer Wohnraum;Bezirk 20;0;1962;2022;3;90;125924
1486;1;1 Ebene;2;1;2020;106;54;2;3;81;97;Gut;Guter Wohnraum;Bezirk 24;0;2020;2021;3;106;195000
1250;3;2 Ebenen;3;0;2016;74;40;2;3;0;70;Gut;Rohbau;Bezirk 23;79;2016;2021;1;154;193000
519;3;2 Ebenen;2;0;1954;81;20;1;4;30;70;Durchschnitt;Freizeitraum;Bezirk 4;42;1962;2022;3;123;151800
65;3;2 Ebenen;2;1;1930;58;23;1;4;0;58;Durchschnitt;Rohbau;Bezirk 8;47;1962;2018;7;106;116000
192;2;1 Ebene;1;1;1979;155;44;2;4;68;158;Gut;Freizeitraum;Bezirk 5;0;1979;2018;6;155;278000
1285;1;2 Ebenen;2;1;2005;67;40;2;3;62;67;Gut;Guter Wohnraum;Bezirk 14;48;2007;2021;10;115;143000
1012;3;1 Ebene;1;1;1973;121;37;2;4;77;106;Durchschnitt;Kein Wohnraum;Bezirk 15;0;2002;2018;6;121;161000
403;3;1 Ebene;1;0;1975;73;23;1;3;41;73;Gut;Mittlerer Wohnraum;Bezirk 22;0;1975;2020;1;73;119916
1578;3;2 Ebenen;3;0;2005;70;43;2;3;36;70;Gut;Guter Wohnraum;Bezirk 23;74;2005;2020;6;145;187000
295;3;1 Ebene;1;0;1967;115;48;2;3;32;32;Durchschnitt;Mittlerer Wohnraum;Bezirk 15;0;1967;2019;2;115;130000
1648;3;2 Ebenen;3;0;2007;64;44;2;3;30;64;Gut;Guter Wohnraum;Bezirk 23;72;2007;2020;4;136;182000
447;3;2 Ebenen;2;0;1989;58;25;1;4;32;58;Gut;Guter Wohnraum;Bezirk 6;59;1989;2022;3;118;272340
882;3;2 Ebenen;3;0;2017;66;48;2;3;0;66;Gut;Rohbau;Bezirk 6;70;2017;2018;3;136;195800
2084;3;2 Ebenen;3;1;1988;68;37;2;4;47;68;Gut;Mittlerer Wohnraum;Bezirk 17;63;1988;2019;7;131;155000
2543;5;1 Ebene;3;0;1979;161;47;2;4;0;60;Gut;Rohbau;Bezirk 15;91;2019;2022;6;253;278300
1696;3;1 Ebene;1;1;1977;82;25;1;3;54;70;Durchschnitt;Kein Wohnraum;Bezirk 23;0;1977;2018;7;82;119900
1639;3;2 Ebenen;3;0;2014;73;46;2;3;0;73;Gut;Rohbau;Bezirk 6;73;2014;2019;8;146;220000
1616;4;2 Ebenen;1;0;1953;70;20;1;3;32;70;Schlecht;Niedrige Qualität;Bezirk 21;39;1962;2018;11;109;112000
784;3;2 Ebenen;3;1;2008;70;46;2;4;32;67;Gut;Guter Wohnraum;Bezirk 6;70;2008;2021;4;141;282172
348;3;1 Ebene;2;0;1974;94;37;2;4;0;94;Durchschnitt;Rohbau;Bezirk 15;0;1974;2022;2;94;184000
1656;3;1 Ebene;2;0;1976;122;54;2;4;47;95;Durchschnitt;Freizeitraum;Bezirk 15;0;1976;2021;8;122;158000
2170;1;1 Ebene;1;0;1939;44;20;1;4;0;44;Durchschnitt;Rohbau;Bezirk 4;0;1962;2020;5;44;68500
2063;2;1 Ebene;1;0;1972;81;25;1;5;42;81;Durchschnitt;Kein Wohnraum;Bezirk 15;0;2010;2019;4;81;151500
790;2;2 Ebenen;1;0;1936;48;0;0;3;0;48;Durchschnitt;Rohbau;Bezirk 8;44;1962;2020;4;93;79000
851;3;2 Ebenen;1;0;1932;64;18;1;5;25;64;Durchschnitt;Kein Wohnraum;Bezirk 21;64;1962;2018;6;128;149000
1403;2;2 Ebenen;1;1;1938;57;31;1;4;32;54;Durchschnitt;Kein Wohnraum;Bezirk 7;54;1962;2020;7;111;145000
1846;3;1 Ebene;1;0;1972;120;24;1;3;0;83;Durchschnitt;Rohbau;Bezirk 15;0;1990;2019;8;120;139900
121;3;3 Ebenen;3;0;1892;142;73;3;5;0;124;Durchschnitt;Rohbau;Bezirk 20;154;2014;2020;5;296;295000
686;2;1 Ebene;1;1;1983;67;0;0;4;67;67;Gut;Guter Wohnraum;Bezirk 14;0;1983;2019;9;67;138000
1408;4;2 Ebenen;2;1;1984;61;41;2;5;53;61;Durchschnitt;Mittlerer Wohnraum;Bezirk 15;64;2016;2019;6;125;184000
1015;3;1 Ebene;1;1;1980;98;21;1;4;66;94;Durchschnitt;Mittlerer Wohnraum;Bezirk 14;0;1980;2020;2;98;152500
1434;3;2 Ebenen;3;0;1944;131;37;2;5;25;72;Gut;Freizeitraum;Bezirk 7;100;2006;2019;12;231;315000
2059;2;1 Ebene;1;0;1975;92;44;2;4;11;92;Durchschnitt;Kein Wohnraum;Bezirk 8;0;1975;2019;6;92;110000
2031;3;1 Ebene;2;0;2013;121;44;2;3;1;123;Gut;Guter Wohnraum;Bezirk 23;0;2013;2021;4;121;189000
240;2;1 Ebene;1;0;1922;67;0;0;4;0;67;Schlecht;Rohbau;Bezirk 8;0;1962;2020;5;67;85000
1711;3;1 Ebene;1;0;1962;83;23;1;4;45;74;Durchschnitt;Kein Wohnraum;Bezirk 15;0;1962;2019;5;83;119000
2593;4;2 Ebenen;2;0;1984;85;41;2;3;16;85;Gut;Niedrige Qualität;Bezirk 22;54;1984;2020;7;139;140000
939;2;1 Ebene;1;0;1970;67;31;1;3;0;67;Durchschnitt;Rohbau;Bezirk 20;0;1970;2021;8;67;99900
954;3;2 Ebenen;3;1;2011;74;49;2;3;53;74;Gut;Guter Wohnraum;Bezirk 6;77;2011;2020;6;152;233530
17;2;1 Ebene;1;1;1963;115;24;1;4;55;85;Durchschnitt;Kein Wohnraum;Bezirk 15;0;2012;2021;6;115;164900
2108;4;2 Ebenen;3;0;2012;83;47;2;3;25;80;Gut;Guter Wohnraum;Bezirk 9;108;2012;2021;4;191;236000
935;3;1 Ebene;2;0;2018;121;41;2;3;32;120;Sehr gut;Guter Wohnraum;Bezirk 24;0;2018;2021;9;121;245000
2404;0;1 Ebene;0;2;1992;89;48;2;3;89;89;Durchschnitt;Guter Wohnraum;Bezirk 20;0;1992;2022;6;89;165600
2004;2;1 Ebene;3;1;2017;173;74;3;3;121;169;Sehr gut;Guter Wohnraum;Bezirk 18;0;2018;2019;8;173;450000
703;5;2 Ebenen;1;1;1969;93;25;1;3;0;93;Durchschnitt;Rohbau;Bezirk 5;58;2001;2021;11;151;161500
2249;3;1 Ebene;2;0;2001;127;37;2;3;0;127;Gut;Rohbau;Bezirk 26;0;2001;2020;7;127;150000
1248;4;3 Ebenen;3;0;1951;89;20;1;5;32;61;Durchschnitt;Niedrige Qualität;Bezirk 21;61;2009;2020;7;186;179500
35;3;1 Ebene;2;0;2017;154;57;3;3;2;154;Sehr gut;Guter Wohnraum;Bezirk 18;0;2018;2022;2;154;297850
475;3;2 Ebenen;3;0;2015;73;57;2;3;42;73;Gut;Freizeitraum;Bezirk 24;73;2015;2020;5;146;207500
1275;2;1 Ebene;1;1;1926;73;17;1;2;17;73;Durchschnitt;Freizeitraum;Bezirk 8;0;1962;2022;6;73;67275
384;3;1 Ebene;2;1;1988;100;42;2;4;92;92;Gut;Niedrige Qualität;Bezirk 14;0;2015;2019;6;100;135000
1581;2;1 Ebene;2;0;2004;108;43;2;3;22;108;Gut;Mittlerer Wohnraum;Bezirk 25;0;2004;2022;1;108;220224
312;3;1 Ebene;1;1;1967;141;32;1;4;70;84;Durchschnitt;Kein Wohnraum;Bezirk 15;0;2008;2020;10;141;165500
548;2;1 Ebene;1;0;1952;60;0;0;4;23;35;Durchschnitt;Niedrige Qualität;Bezirk 4;0;1962;2021;12;60;82500
1166;2;2 Ebenen;3;1;2011;53;39;2;3;43;51;Gut;Kein Wohnraum;Bezirk 24;53;2012;2020;3;106;160000
2547;2;2 Ebenen;1;0;1938;76;15;1;4;0;75;Durchschnitt;Rohbau;Bezirk 4;0;2016;2021;1;76;119000
723;3;1 Ebene;2;0;2020;143;65;3;3;0;143;Gut;Rohbau;Bezirk 6;0;2020;2022;2;143;413099
1429;3;1 Ebene;2;1;1986;126;39;2;4;10;102;Durchschnitt;Kein Wohnraum;Bezirk 22;0;2014;2022;4;126;194349
1122;3;2 Ebenen;1;0;1937;71;21;1;5;0;59;Durchschnitt;Rohbau;Bezirk 20;53;2006;2019;7;125;125000
543;3;2 Ebenen;3;1;2012;102;65;3;3;42;98;Gut;Guter Wohnraum;Bezirk 16;87;2012;2018;6;189;300000
1650;3;1 Ebene;1;1;1990;93;41;2;3;44;85;Durchschnitt;Mittlerer Wohnraum;Bezirk 22;0;1990;2020;12;93;157500
937;3;1 Ebene;3;0;2008;110;40;2;3;0;57;Gut;Rohbau;Bezirk 23;62;2008;2020;2;173;229000
2295;3;2 Ebenen;3;0;2010;68;44;2;3;42;68;Gut;Guter Wohnraum;Bezirk 6;74;2010;2022;6;142;337584
979;3;1 Ebene;2;0;2010;141;50;2;3;0;140;Gut;Rohbau;Bezirk 6;0;2010;2022;5;141;378667
2208;3;2 Ebenen;3;0;2002;100;34;2;3;76;98;Gut;Niedrige Qualität;Bezirk 26;45;2003;2019;4;145;187500
151;3;2 Ebenen;2;0;1935;80;17;1;4;19;80;Durchschnitt;Mittlerer Wohnraum;Bezirk 8;29;2020;2020;6;109;108000
1902;3;1 Ebene;1;1;1966;99;31;1;4;81;99;Durchschnitt;Kein Wohnraum;Bezirk 8;0;2010;2022;6;99;147200
663;3;1 Ebene;1;1;1980;76;27;1;4;63;70;Gut;Guter Wohnraum;Bezirk 15;0;1980;2018;8;76;140000
117;4;2 Ebenen;3;1;2007;80;51;2;3;58;79;Gut;Guter Wohnraum;Bezirk 6;88;2008;2018;7;169;237000
346;3;2 Ebenen;3;0;1992;116;37;2;5;39;60;Gut;Mittlerer Wohnraum;Bezirk 26;73;2018;2021;2;190;204000
2293;3;1 Ebene;2;1;1973;111;51;2;4;26;111;Durchschnitt;Mittlerer Wohnraum;Bezirk 15;0;2007;2021;2;111;153000
1865;2;1 Ebene;2;1;2017;211;67;3;3;183;208;Sehr gut;Guter Wohnraum;Bezirk 24;0;2018;2021;10;211;468000
1172;3;1 Ebene;2;1;1989;102;46;2;4;65;102;Gut;Mittlerer Wohnraum;Bezirk 27;0;1989;2018;6;102;165000
1523;4;2 Ebenen;3;0;2014;74;44;2;3;0;74;Gut;Rohbau;Bezirk 6;88;2014;2018;9;162;197000
1060;4;2 Ebenen;3;0;2011;120;66;3;3;0;118;Gut;Rohbau;Bezirk 16;100;2011;2022;5;220;383143
364;3;1 Ebene;1;1;1966;92;21;1;4;14;92;Gut;Kein Wohnraum;Bezirk 8;0;1966;2021;9;92;125000
116;3;1 Ebene;2;1;2006;175;69;3;3;20;172;Gut;Kein Wohnraum;Bezirk 16;0;2007;2021;6;175;315000
2274;2;1 Ebene;2;0;2005;135;40;2;4;0;135;Gut;Rohbau;Bezirk 19;0;2005;2019;7;135;188500
230;4;2 Ebenen;4;1;2005;164;81;3;3;24;147;Sehr gut;Freizeitraum;Bezirk 16;133;2006;2018;5;297;584500
471;3;1 Ebene;1;1;1981;115;28;1;3;10;93;Durchschnitt;Freizeitraum;Bezirk 14;0;1991;2018;5;115;140000
1769;2;1 Ebene;1;0;1936;74;27;1;3;0;74;Durchschnitt;Rohbau;Bezirk 22;0;1962;2018;4;74;105000
1132;3;1 Ebene;1;1;1973;137;115;4;3;98;106;Durchschnitt;Kein Wohnraum;Bezirk 14;0;1987;2019;3;137;168000
337;2;1 Ebene;1;0;1973;73;37;1;3;73;73;Durchschnitt;Kein Wohnraum;Bezirk 22;0;1973;2021;7;73;122000
1746;3;2 Ebenen;3;0;2015;91;41;2;3;0;77;Gut;Rohbau;Bezirk 26;80;2015;2021;2;171;170000
156;2;2 Ebenen;3;1;2010;124;71;2;3;10;82;Gut;Kein Wohnraum;Bezirk 24;78;2011;2020;2;203;345000
2070;4;2 Ebenen;1;1;1951;76;23;1;5;4;57;Durchschnitt;Freizeitraum;Bezirk 4;35;1964;2019;7;112;132000
496;2;2 Ebenen;1;0;1922;57;28;1;3;0;57;Durchschnitt;Rohbau;Bezirk 20;57;2015;2020;1;115;111000
778;3;2 Ebenen;1;0;1930;53;18;1;5;0;51;Durchschnitt;Rohbau;Bezirk 7;51;2002;2021;5;104;137000
621;3;2 Ebenen;3;0;2004;89;39;2;3;0;89;Gut;Rohbau;Bezirk 23;67;2004;2022;5;156;217349
71;3;1 Ebene;1;0;1982;73;23;1;3;0;73;Durchschnitt;Rohbau;Bezirk 15;0;1982;2018;7;73;116050
1197;3;1 Ebene;2;0;2017;137;48;2;3;4;137;Gut;Guter Wohnraum;Bezirk 6;0;2017;2018;3;137;225000
1333;3;2 Ebenen;3;0;2012;89;49;2;3;0;89;Gut;Rohbau;Bezirk 24;69;2013;2021;3;159;220000
1447;4;2 Ebenen;1;0;1942;66;0;0;4;0;66;Gut;Rohbau;Bezirk 12;35;1962;2020;7;102;119000
610;2;1 Ebene;2;1;2010;125;42;2;3;28;120;Gut;Guter Wohnraum;Bezirk 25;0;2010;2021;7;125;240000
9;3;1 Ebene;1;1;1977;75;28;1;5;47;75;Durchschnitt;Guter Wohnraum;Bezirk 22;0;2021;2022;4;75;159275
1910;2;2 Ebenen;1;0;1917;60;18;1;3;0;62;Durchschnitt;Rohbau;Bezirk 20;56;1962;2018;3;116;96900
1591;5;1 Ebene;2;0;1969;155;41;2;3;0;155;Durchschnitt;Rohbau;Bezirk 15;0;1969;2020;1;155;146000
1898;2;1 Ebene;2;0;1963;133;34;2;4;0;18;Durchschnitt;Rohbau;Bezirk 15;0;1963;2018;6;133;155000
218;2;1 Ebene;1;0;1958;76;23;1;4;0;0;0;0;Bezirk 4;0;1962;2020;4;76;79000
1290;1;1 Ebene;1;0;1953;45;17;1;3;40;40;Durchschnitt;Kein Wohnraum;Bezirk 12;0;1962;2022;4;45;94299
94;1;1 Ebene;1;1;2016;72;35;2;3;56;72;Gut;Guter Wohnraum;Bezirk 6;0;2016;2020;1;72;180290
1051;3;2 Ebenen;3;0;2019;73;49;2;3;1;73;Gut;Guter Wohnraum;Bezirk 6;76;2019;2021;4;150;282172
352;3;2 Ebenen;1;0;1947;73;13;1;5;0;76;Durchschnitt;Rohbau;Bezirk 20;43;2010;2021;6;117;128900
1552;2;1 Ebene;1;1;1972;75;33;2;4;62;75;Durchschnitt;Mittlerer Wohnraum;Bezirk 15;0;1972;2021;8;75;141500
1674;3;1 Ebene;3;2;1999;125;49;2;3;76;139;Gut;Guter Wohnraum;Bezirk 26;0;2001;2021;7;125;213500
2545;3;1 Ebene;3;0;2018;64;34;2;3;0;32;Gut;Rohbau;Bezirk 26;54;2019;2020;5;118;167500
932;3;1 Ebene;2;0;1980;98;28;1;3;57;89;Durchschnitt;Kein Wohnraum;Bezirk 22;0;1980;2018;7;98;158000
1514;3;1 Ebene;1;0;1969;78;24;1;4;26;78;Durchschnitt;Freizeitraum;Bezirk 20;0;1969;2020;6;78;112500
221;3;2 Ebenen;3;0;2005;77;33;2;3;0;76;Gut;Rohbau;Bezirk 9;62;2006;2019;7;139;168000
2336;2;1 Ebene;1;0;1932;86;26;1;3;0;86;Durchschnitt;Rohbau;Bezirk 12;0;1962;2019;5;86;118400
726;3;1 Ebene;1;1;1970;99;25;1;4;16;98;Durchschnitt;Freizeitraum;Bezirk 22;0;2010;2019;10;99;137000
2062;3;1 Ebene;2;1;2020;193;114;3;3;177;193;Gut;Guter Wohnraum;Bezirk 6;0;2020;2020;6;193;574750
1475;2;1 Ebene;2;1;2007;126;40;2;3;37;126;Gut;Niedrige Qualität;Bezirk 27;0;2008;2018;4;126;270000
1556;2;1 Ebene;1;0;1974;73;24;1;3;9;73;Durchschnitt;Mittlerer Wohnraum;Bezirk 15;0;1974;2019;12;73;125500
1676;4;2 Ebenen;2;1;1927;71;18;1;3;0;68;Gut;Rohbau;Bezirk 21;68;1962;2022;5;139;147200
1593;3;2 Ebenen;2;0;1989;58;26;1;4;43;57;Gut;Guter Wohnraum;Bezirk 6;59;1989;2018;12;117;157500
310;4;2 Ebenen;2;1;1922;82;27;2;3;53;82;Durchschnitt;Niedrige Qualität;Bezirk 20;82;1962;2021;6;165;103500
1963;2;2 Ebenen;2;0;1922;65;30;2;4;0;22;Schlecht;Rohbau;Bezirk 20;56;2014;2019;5;121;132000
1208;3;2 Ebenen;1;0;1941;67;34;2;4;0;67;Gut;Rohbau;Bezirk 7;61;1962;2018;6;128;230000
684;4;2 Ebenen;2;0;1937;118;48;2;3;35;100;Durchschnitt;Freizeitraum;Bezirk 21;25;1962;2020;6;143;136500
2128;3;1 Ebene;2;1;2019;146;70;3;3;109;144;Sehr gut;Guter Wohnraum;Bezirk 6;0;2020;2021;9;146;395307
1251;2;1 Ebene;1;0;1970;97;32;1;4;0;13;Gut;Rohbau;Bezirk 15;0;1970;2021;4;97;113500
1053;3;2 Ebenen;3;1;2007;103;47;2;3;91;103;Gut;Guter Wohnraum;Bezirk 6;73;2008;2019;12;177;264000
1682;1;1 Ebene;1;1;2001;87;50;2;4;63;83;Gut;Guter Wohnraum;Bezirk 2;0;2001;2022;4;87;212749
2524;3;2 Ebenen;3;1;2012;69;56;2;3;45;69;Gut;Guter Wohnraum;Bezirk 24;73;2012;2022;1;142;248399
2292;3;1 Ebene;1;1;1977;96;32;1;4;75;96;Durchschnitt;Freizeitraum;Bezirk 15;0;1977;2020;7;96;140000
1358;2;1 Ebene;1;1;1982;45;25;1;3;42;45;Gut;Guter Wohnraum;Bezirk 13;39;1982;2019;7;84;106500
1395;6;1 Ebene;2;1;1975;146;42;2;3;113;146;Durchschnitt;Freizeitraum;Bezirk 22;0;1975;2018;11;146;125000
1260;3;2 Ebenen;3;0;2000;83;42;2;3;33;83;Gut;Guter Wohnraum;Bezirk 19;62;2000;2022;3;145;225974
1843;3;1 Ebene;2;0;2011;115;53;2;3;0;113;Gut;Rohbau;Bezirk 24;0;2012;2019;12;115;204000
627;3;2 Ebenen;2;0;1984;46;21;1;3;21;46;Durchschnitt;Freizeitraum;Bezirk 13;46;1984;2018;5;92;79400
2598;3;1 Ebene;2;0;2006;135;41;2;3;34;132;Gut;Kein Wohnraum;Bezirk 6;0;2007;2019;6;135;250800
1117;2;1 Ebene;1;0;1984;75;51;2;3;66;75;Durchschnitt;Freizeitraum;Bezirk 6;0;1984;2021;9;75;163713
2471;4;2 Ebenen;3;0;2014;97;66;2;3;0;95;Gut;Rohbau;Bezirk 6;96;2014;2020;5;194;309639
2476;3;1 Ebene;3;0;2020;140;61;3;3;0;137;Gut;Rohbau;Bezirk 24;0;2020;2021;9;140;257500
1518;2;2 Ebenen;3;1;2017;51;40;2;3;33;51;Gut;Guter Wohnraum;Bezirk 24;51;2017;2020;5;102;165000
1347;3;2 Ebenen;3;1;2006;79;40;2;3;69;78;Gut;Guter Wohnraum;Bezirk 23;66;2006;2019;7;146;201000
2104;4;1 Ebene;3;1;1993;214;46;2;3;93;214;Gut;Mittlerer Wohnraum;Bezirk 19;0;1993;2021;7;214;278000
1448;3;1 Ebene;1;0;1962;89;35;2;3;0;0;0;0;Bezirk 15;0;1962;2020;7;89;98300
1763;4;2 Ebenen;3;0;1989;98;42;2;3;33;98;Gut;Kein Wohnraum;Bezirk 5;73;1989;2020;3;171;192000
